Crime Head,2017,2018,2019
In Shelter Homes for women and Children,544,707,473
Other Places,19326,19124,16750
"Assault or use of Criminal Force on women with
intent to Disrobe",9720,9949,11238
Voyeurism,1090,1393,1319
Stalking,8145,9438,8890
Kidnapping and Abduction,95893,105734,105037
Kidnapping and Abduction,45727,54848,56591
Missing Children Deemed as Kidnapped,17718,23826,28370
Other Kidnapping & Abduction,28009,31022,28221
"Kidnapping and Abduction for the Purpose of
Begging",72,71,42
Kidnapping and Abduction in order to Murder,1278,1301,649
Kidnapping for Ransom,616,593,580
"Kidnapping and Abduction of Women to compel her
for marriage",30614,33354,32260
Procuration of Minor Girls,3382,3039,3117
Importation of Girls from Foreign Country,5,4,3
Other Kidnapping & Abducion,14199,12524,11795
Human Trafficking,1127,1313,1334
Exploitation of Trafficked Person,117,190,183
Selling of Minors for Prostitution,81,42,24
Buying of Minors for Prostitution,4,8,8
Rape,32559,33356,32033
Attempt to Commit Rape,4154,4097,3944
Unnatural Offences,1271,1378,1004
