Crime Head,2017,2018,2019
Murder,28653,29017,28918
Culpable Homicide not amounting to Murder,3401,3635,3470
Causing Death by Negligence,142794,144031,144842
Deaths due to Negligence relating to Road Accidents,134803,135051,136587
Hit and Run,43727,47028,47530
Other Accidents,91076,88023,89057
Deaths due to Negligence relating to Rail Accidents,84,35,55
Deaths due to Medical Negligence,198,218,210
Deaths due to Negligence of Civic Bodies,103,40,147
Deaths due to other Negligence,7606,8687,7843
Dowry Deaths,7466,7167,7115
Abetment of Suicide,8129,8324,8315
Attempt to Commit Murder,51621,51489,51254
Attempt to commit Culpable Homicide,7191,7987,7766
Attempt to Commit Suicide,1944,2075,1637
"Miscarriage, Infanticide, Foeticide and Abandonment",1872,1728,1950
Hurt,494617,530076,545061
Simple Hurt,401301,446001,455946
Voluntarily Causing Simple Hurt,222285,243845,261047
"Voluntarily causing hurt by Dangerous weapons or
means",143262,157899,162907
"Voluntarily Causing hurt/Force to deter public
servant from his duty",15336,18608,16781
Causing Hurt by act endangering life/safety of others,12550,14727,9496
Other Simple Hurt,7868,10922,5715
Grievous Hurt,93316,84075,89115
Voluntarily causing grievous hurt,65910,56179,61685
"Voluntarily causing grievous hurt by dangerous
weapons or means",21249,21087,20373
Acid Attack,244,228,240
Attempt to Acid Attack,65,59,60
"Voluntarily Causing Grievous hurt/Force to deter
public servant from his duty",1687,1849,1742
"Causing Grevious Hurt by act endangering life/safety
of others",3529,3531,3979
Other Grevious Hurt,632,1142,1036
Wrongful Restraint/Confinement,20176,19303,18683
"Assault on Women with Intent to Outrage her
Modesty",86001,89097,88367
"Assault on Women with Intent to Outrage her
Modesty",46098,47355,48586
Sexual Harassment,20948,20962,18334
at Work or Office Premises,479,401,505
In Public Transport System,599,730,606
In Shelter Homes for women and Children,544,707,473
Other Places,19326,19124,16750
"Assault or use of Criminal Force on women with
intent to Disrobe",9720,9949,11238
Voyeurism,1090,1393,1319
Stalking,8145,9438,8890
Kidnapping and Abduction,95893,105734,105037
Kidnapping and Abduction,45727,54848,56591
Missing Children Deemed as Kidnapped,17718,23826,28370
Other Kidnapping & Abduction,28009,31022,28221
"Kidnapping and Abduction for the Purpose of
Begging",72,71,42
Kidnapping and Abduction in order to Murder,1278,1301,649
Kidnapping for Ransom,616,593,580
"Kidnapping and Abduction of Women to compel her
for marriage",30614,33354,32260
Procuration of Minor Girls,3382,3039,3117
Importation of Girls from Foreign Country,5,4,3
Other Kidnapping & Abducion,14199,12524,11795
Human Trafficking,1127,1313,1334
Exploitation of Trafficked Person,117,190,183
Selling of Minors for Prostitution,81,42,24
Buying of Minors for Prostitution,4,8,8
Rape,32559,33356,32033
Attempt to Commit Rape,4154,4097,3944
Unnatural Offences,1271,1378,1004
