Crime Head,2017,2018,2019
"Theft",589058,225445,625441
"Auto/Motor Vehicle Theft",233727,675916,237884
Other Thefts,363613,391714,438032
Burglary,110711,99940,100897
Day Time,18381,15247,14805
Night,92330,84693,86092
Extortion & Blackmailing,9736,10736,11067
Robbery,30742,30822,31065
Attempt to Commit Dacoity/Robbery,649,639,596
Dacoity,3575,3492,3176
Dacoity,3528,3454,3132
Dacoity with Murder,47,38,44
"Making Preparation and Assembly for committing
Dacoity",3463,3452,3338
Criminal Misappropriation,276,244,497
Criminal Breach of Trust,20371,20456,20833
Dishonestly Receiving/Dealingin Stolen Property,6682,7150,7233
